id,lat,lng,xpos,ypos,dbh,height,species,condition
0,51.53329734889992,0.1201450529514761,115,50,0.875,0.35,Sorbus torminalis,excellent
1,51.53292864054233,0.11871686126681176,14,13,0.545,0.463,Malus sylvestris,excellent
2,51.5332174785074,0.1198684697809417,95,42,1.167,0.339,Corylus avellana,good
3,51.53327194048761,0.1194094390523108,63,50,1.132,0.338,Betula pendula,excellent
4,51.5330601168992,0.11881875589410633,22,28,0.564,0.398,Corylus avellana,good
5,51.53292546950054,0.11877430950162125,18,13,0.71,0.458,Quercus robur,excellent
6,51.53326031487204,0.11968422715248712,82,48,0.752,0.32,Sorbus torminalis,excellent
7,51.533240856586474,0.11977959499794048,89,45,1.171,0.322,Salix caprea,excellent
8,51.533119213700886,0.11929060495094077,55,33,0.935,0.499,Sambucus nigra,good
9,51.53298665867622,0.11990443408140264,96,17,0.513,0.431,Rosa canina,excellent
10,51.532957228700205,0.11855527978845672,3,17,1.431,0.304,Rosa canina,excellent
11,51.5329697626442,0.1186191586748583,7,18,0.567,0.324,Betula pubescens,excellent
12,51.532999693191606,0.11878713034433908,19,21,1.341,0.336,Sorbus torminalis,excellent
13,51.53321957117884,0.11947604092105289,68,44,1.117,0.419,Sambucus nigra,excellent
14,51.5330658489356,0.11936401174927169,59,27,0.539,0.359,Betula pubescens,excellent
15,51.53298563583429,0.11863648660549128,9,20,1.225,0.332,Acer campestre,excellent
16,51.53306329189589,0.12000258398175953,104,25,1.061,0.453,Betula pendula,excellent
17,51.53316027112431,0.12000050620125934,104,36,0.763,0.353,Malus sylvestris,excellent
18,51.53327844877674,0.12022324109238006,120,48,1.116,0.459,Salix cinerea,excellent
19,51.53291347853306,0.11879279849454044,19,11,1.037,0.371,Viburnum opulus,excellent
20,51.53290650370259,0.11972177308068338,83,8,0.983,0.447,Acer campestre,excellent
21,51.53307523238204,0.11947159696485746,67,28,0.713,0.413,Prunus avium,excellent
22,51.53326854077234,0.12021865249906491,120,47,1.105,0.348,Corylus avellana,excellent
23,51.533224166164814,0.12014954662257793,115,42,0.976,0.492,Rosa canina,good
24,51.5334115593367,0.11965291485647304,81,65,1.099,0.361,Sorbus torminalis,excellent
25,51.53306052011434,0.11969982119178058,83,25,0.802,0.416,Corylus avellana,excellent
26,51.53298760266705,0.1194811123660419,67,18,1.237,0.492,Euonymus europaeus,excellent
27,51.5330534555886,0.11988625491154674,96,24,0.544,0.429,Sambucus nigra,good
28,51.533120712282205,0.11909643845096059,41,34,0.705,0.498,Malus sylvestris,excellent
29,51.53339312773628,0.11973161132007602,86,62,0.508,0.324,Cornus sanguinea,excellent
30,51.53337536367997,0.1197372355752188,87,60,0.548,0.35,Prunus spinosa,good
31,51.532915483183224,0.11917486129084595,46,11,1.162,0.353,Prunus spinosa,excellent
32,51.53315474650788,0.12034060502834162,127,34,0.713,0.375,Prunus avium,excellent
33,51.53328045895072,0.12015202202400194,115,49,0.606,0.424,Prunus avium,good
34,51.53318523047226,0.11904421260711538,38,41,0.632,0.313,Betula pendula,excellent
35,51.53304825218251,0.11952602602319361,71,24,0.62,0.315,Prunus avium,excellent
36,51.5330542567294,0.11965514282675845,80,25,0.761,0.335,Euonymus europaeus,excellent
37,51.53291226026568,0.11939745131230535,61,10,1.45,0.447,Rosa canina,excellent
38,51.533288726966255,0.1201648900795011,116,49,1.071,0.43,Carpinus betulus,good
39,51.53292740573301,0.11904743650874185,37,12,1.26,0.496,Corylus avellana,excellent
40,51.533070920357744,0.11922027841541641,49,28,0.904,0.414,Salix caprea,excellent
41,51.53304688138032,0.12005332830991397,107,23,0.57,0.484,Prunus avium,excellent
42,51.53334737752756,0.11982030262862879,92,57,0.855,0.456,Prunus spinosa,good
43,51.53292118398473,0.11938265039220952,60,11,1.318,0.312,Sorbus torminalis,excellent
44,51.53305674710669,0.12008984735589485,110,24,1.111,0.431,Rosa canina,excellent
45,51.53309261197368,0.11918512633882397,47,30,0.551,0.414,Corylus avellana,excellent
46,51.5332120275345,0.11919950481949769,49,44,0.501,0.315,Cornus sanguinea,excellent
47,51.53306459333531,0.11961135030668583,77,26,0.899,0.376,Corylus avellana,excellent
48,51.5331338118499,0.11896997879094158,32,35,1.311,0.389,Tilia cordata,excellent
49,51.533322992184765,0.11965856591786746,81,55,1.459,0.324,Malus sylvestris,excellent
50,51.53323608179617,0.1199690760418023,102,44,0.573,0.307,Sorbus torminalis,excellent
51,51.53310416824696,0.1189625697580651,32,32,1.326,0.305,Carpinus betulus,excellent
52,51.53322314984375,0.11999793960658396,104,43,1.014,0.402,Betula pendula,excellent
53,51.53335953207806,0.1199316117041418,100,58,0.614,0.339,Euonymus europaeus,excellent
54,51.532929196426366,0.11874875318843574,16,13,0.798,0.425,Corylus avellana,excellent
55,51.53337301016213,0.11958258909134548,76,60,0.616,0.362,Malus sylvestris,excellent
56,51.53320851426547,0.11990703300589534,98,41,0.635,0.468,Salix cinerea,excellent
57,51.5330099653935,0.11904872860960675,37,22,0.599,0.439,Betula pendula,excellent
58,51.53290623749039,0.11919208696787642,47,10,1.052,0.335,Euonymus europaeus,excellent
59,51.533323376607406,0.11940903274197555,64,55,0.939,0.473,Cornus sanguinea,excellent
60,51.53291141640993,0.11972815504697767,84,9,1.114,0.334,Viburnum opulus,excellent
61,51.53337077772198,0.11960897216755013,78,60,0.971,0.445,Sorbus torminalis,excellent
62,51.53285582694658,0.11942276831657486,63,3,0.898,0.373,Corylus avellana,good
63,51.533194875206284,0.11942772114870305,64,41,1.285,0.488,Viburnum opulus,excellent
