id,lat,lng,xpos,ypos,dbh,height,species,condition
0,51.546882144323106,0.12673395389956385,53,76,1.476,0.49,Salix caprea,excellent
1,51.54621799460644,0.12662658499666135,42,2,1.257,0.332,Betula pendula,excellent
2,51.546656486610964,0.1273624784682663,95,49,0.896,0.342,Corylus avellana,good
3,51.54662064591042,0.12606912905955864,6,49,0.731,0.418,Carpinus betulus,excellent
4,51.54678177401044,0.1270894778327514,77,64,1.197,0.362,Corylus avellana,good
5,51.54658851713727,0.1274914602666195,104,41,0.922,0.356,Corylus avellana,excellent
6,51.54632821971496,0.1265376388890516,37,15,1.127,0.373,Corylus avellana,excellent
7,51.54636181681407,0.12678197552612094,54,18,0.652,0.319,Euonymus europaeus,excellent
8,51.54660513266625,0.12746920256931896,103,43,1.205,0.435,Sorbus torminalis,excellent
9,51.54669554959152,0.12747320696372674,103,53,1.405,0.448,Viburnum opulus,excellent
10,51.54639310096246,0.12630454299572852,21,23,0.816,0.467,Betula pubescens,good
11,51.54637519376914,0.1266549439634088,45,20,0.896,0.325,Tilia cordata,excellent
12,51.54628318893726,0.12655733951878484,38,10,1.013,0.312,Prunus avium,excellent
13,51.54670887236033,0.12740461202772296,99,55,0.786,0.331,Prunus avium,good
14,51.54657400413538,0.12648148247031127,34,42,1.463,0.357,Sorbus torminalis,good
15,51.54648342346951,0.12649106515173605,34,32,1.425,0.439,Rosa canina,excellent
16,51.546639657053184,0.12764650344372422,115,46,0.613,0.439,Cornus sanguinea,good
17,51.54632921908487,0.12654227056249473,37,15,0.598,0.379,Betula pendula,excellent
18,51.54643616877984,0.12738265113260466,96,25,1.326,0.43,Salix caprea,excellent
19,51.54633417385355,0.12717832735312878,81,14,0.802,0.354,Viburnum opulus,excellent
20,51.546473364697725,0.1262357225390981,16,32,1.379,0.433,Rosa canina,excellent
21,51.54637114607654,0.12626113237441533,18,20,0.971,0.422,Sorbus aria,excellent
22,51.546547791153,0.12636921136058968,26,40,1.13,0.384,Carpinus betulus,excellent
23,51.546346967239145,0.12719942800328038,83,15,1.037,0.358,Corylus avellana,excellent
24,51.54645818152027,0.1268615309147798,60,28,0.748,0.455,Corylus avellana,good
25,51.54623639091219,0.1265805157754411,39,5,0.507,0.461,Sorbus aria,excellent
26,51.54689169059671,0.12710054391261316,78,76,0.635,0.328,Tilia cordata,good
27,51.546627392852905,0.12781340838155592,127,45,1.052,0.38,Betula pubescens,excellent
28,51.546340512375444,0.12646965222733475,32,16,1.11,0.332,Acer campestre,excellent
29,51.54631295630438,0.12663307327341608,43,13,1.206,0.485,Carpinus betulus,good
30,51.54665753315229,0.1262645611755746,19,52,1.416,0.38,Rosa canina,excellent
31,51.546372093715135,0.12700168278041352,69,18,1.45,0.491,Prunus avium,good
32,51.546893565852805,0.1270524255750395,75,76,0.676,0.333,Malus sylvestris,excellent
33,51.54655844544119,0.12623981916773977,17,41,1.109,0.313,Rosa canina,excellent
34,51.546565778493054,0.12618433310534302,13,42,0.769,0.423,Acer campestre,excellent
35,51.54656148363295,0.12656199948693778,39,41,1.102,0.497,Sambucus nigra,excellent
36,51.54683595046475,0.12665561234015787,47,71,1.383,0.377,Salix caprea,excellent
37,51.54657082509021,0.1272636483799942,88,40,0.814,0.405,Sorbus aria,good
38,51.54662536311556,0.12608107805180446,6,49,1.257,0.446,Rosa canina,excellent
39,51.54642168570118,0.12710230802417574,76,24,0.678,0.393,Viburnum opulus,excellent
40,51.546670007561325,0.1275088507654074,106,50,0.576,0.434,Prunus spinosa,excellent
41,51.54667532292992,0.12605365212934402,5,55,1.237,0.342,Acer campestre,excellent
42,51.546697770071845,0.1269352169452259,66,55,1.146,0.499,Euonymus europaeus,excellent
43,51.54664510220618,0.12603059436681152,3,51,1.123,0.489,Acer campestre,excellent
44,51.54640162081236,0.12647921026804834,33,23,1.486,0.455,Sorbus aria,excellent
45,51.546649177764,0.12757708714439836,110,48,1.107,0.33,Sorbus aria,good
46,51.54667054614909,0.12730708073822664,92,51,1.438,0.494,Carpinus betulus,excellent
47,51.546768717508805,0.12690124340884026,64,63,0.764,0.484,Malus sylvestris,good
48,51.54693406224619,0.12702013569611986,73,81,0.865,0.424,Sambucus nigra,excellent
49,51.54641732713587,0.1263199934323121,22,25,0.62,0.449,Rosa canina,excellent
50,51.5468775735995,0.12691172966589673,65,75,1.232,0.356,Euonymus europaeus,excellent
51,51.54691271238071,0.12710571304002,79,78,0.563,0.408,Malus sylvestris,excellent
52,51.546501788781335,0.12741283686999874,98,32,1.136,0.424,Rosa canina,excellent
53,51.54691406264736,0.12678747125726236,57,79,0.879,0.459,Sorbus aria,excellent
