id,lat,lng,xpos,ypos,dbh,height,species,condition
0,51.52676417202653,0.10144201448346585,4,47,1.063,0.374,Salix caprea,excellent
1,51.52640974105444,0.10148071090990882,5,8,0.776,0.444,Quercus petraea,good
2,51.52673569067513,0.10142191669845407,2,44,1.228,0.346,Viburnum opulus,excellent
3,51.52671880333574,0.10152182877214633,9,42,1.083,0.475,Prunus avium,excellent
4,51.526377970705646,0.10147722122982807,5,4,0.688,0.373,Acer campestre,good
5,51.5266772232681,0.10151044485332165,8,37,0.57,0.419,Rosa canina,excellent
6,51.52638145589703,0.10144803972992546,3,5,1.262,0.398,Carpinus betulus,excellent
7,51.52691247374733,0.10148344968462364,7,64,1.288,0.3,Sambucus nigra,excellent
8,51.52652703540451,0.10144169071888291,3,21,1.11,0.496,Sambucus nigra,excellent
9,51.5267723948908,0.10144275976361426,4,48,1.434,0.434,Corylus avellana,excellent
10,51.526762575813095,0.10144417732393193,4,47,1.468,0.367,Cornus sanguinea,excellent
11,51.526486655324796,0.10144441165056177,3,16,1.156,0.318,Corylus avellana,excellent
12,51.52681584920524,0.10145437439087128,5,53,1.41,0.431,Prunus spinosa,excellent
13,51.526952178611985,0.10151279105922864,10,68,0.633,0.479,Sambucus nigra,excellent
14,51.52657727524301,0.10141323859248856,1,27,1.134,0.476,Corylus avellana,excellent
15,51.52678995627461,0.10148682148967905,7,50,0.864,0.335,Salix caprea,good
16,51.5269144375658,0.10143447968824798,4,64,1.01,0.35,Betula pubescens,good
17,51.52692492919317,0.10145177721409245,5,65,0.614,0.311,Carpinus betulus,excellent
18,51.5267936721604,0.10144991159563903,5,51,0.916,0.411,Salix cinerea,excellent
19,51.52683897980514,0.10143397224815262,4,56,1.238,0.485,Cornus sanguinea,excellent
20,51.52639160446784,0.10143579621516877,2,6,1.304,0.473,Betula pendula,excellent
21,51.52666971470645,0.10148569521300885,6,37,1.026,0.451,Cornus sanguinea,excellent
22,51.526810478070786,0.10154428442902626,11,52,1.181,0.49,Euonymus europaeus,excellent
23,51.52693876638002,0.1014647605441722,6,67,1.385,0.319,Sorbus aria,excellent
24,51.52646096176196,0.10145591193239949,3,14,0.96,0.315,Sorbus torminalis,excellent
25,51.5266507272006,0.10148053697610629,6,35,0.991,0.488,Cornus sanguinea,good
26,51.52693288443201,0.10148081405360729,7,66,1.179,0.426,Salix caprea,good
27,51.526643201036315,0.1014888509604261,7,34,1.239,0.481,Sorbus torminalis,excellent
28,51.52693854434259,0.10146639776502936,6,67,0.821,0.443,Viburnum opulus,excellent
29,51.52690840274445,0.10146736279769297,6,63,0.825,0.388,Corylus avellana,excellent
30,51.526531161363195,0.10142672939413801,2,21,1.492,0.424,Salix cinerea,excellent
31,51.52648531116447,0.10146218747034738,4,16,0.96,0.434,Prunus avium,excellent
32,51.52671813838149,0.10143682035900538,3,42,1.186,0.353,Viburnum opulus,good
