id,lat,lng,xpos,ypos,dbh,height,species,condition
0,51.52677620384655,0.10150993985073248,10,48,0.553,0.461,Prunus avium,good
1,51.52653293302634,0.10152436976384839,10,21,0.554,0.49,Acer campestre,excellent
2,51.526494452392114,0.10144548241417409,4,17,0.733,0.383,Carpinus betulus,excellent
3,51.52652757842472,0.10146566049092362,5,21,1.203,0.333,Prunus avium,excellent
4,51.52654902775536,0.10145667326535503,5,23,1.49,0.467,Quercus robur,excellent
5,51.52634361585827,0.10146158055703733,4,1,1.017,0.379,Rosa canina,excellent
6,51.526720549401986,0.10149528778023902,8,42,0.966,0.439,Sambucus nigra,excellent
7,51.52649926127887,0.1014125188245942,2,18,0.724,0.454,Salix cinerea,excellent
8,51.526454312694554,0.10145548154029509,4,13,0.986,0.459,Sorbus torminalis,excellent
9,51.526690370668085,0.10146690329450206,6,39,0.578,0.336,Prunus avium,excellent
10,51.52644553823243,0.10146706547340886,5,12,0.58,0.496,Sorbus torminalis,excellent
11,51.52687994771649,0.10147034207803922,7,60,1.431,0.363,Carpinus betulus,excellent
12,51.52684742298035,0.10148347313435638,8,56,1.264,0.33,Salix caprea,excellent
13,51.52675122530178,0.10145113028228404,5,46,1.394,0.458,Salix caprea,excellent
14,51.526580604776704,0.10142725876827574,3,27,1.021,0.307,Acer campestre,good
15,51.52646461870778,0.10146512228582598,5,14,0.687,0.438,Corylus avellana,excellent
16,51.526749995491684,0.10153263798675381,11,46,1.122,0.317,Sambucus nigra,excellent
17,51.52638012550393,0.10152909371645508,9,4,1.087,0.497,Salix caprea,excellent
18,51.52663067798505,0.1015057010671322,9,32,0.544,0.388,Betula pendula,excellent
19,51.52676895639394,0.10148314386904778,8,48,0.748,0.374,Betula pendula,excellent
20,51.526754436136315,0.10144374545879549,5,46,1.108,0.396,Prunus spinosa,excellent
21,51.52684520478577,0.10151603473072067,10,56,1.254,0.419,Tilia cordata,excellent
22,51.52636612869925,0.10147853136083165,6,3,0.707,0.369,Malus sylvestris,good
23,51.526398394452386,0.10149521794385853,7,7,0.574,0.374,Betula pendula,excellent
24,51.52681154424804,0.10142213474222819,4,53,1.22,0.498,Sorbus torminalis,excellent
25,51.5263906386204,0.10143809820532884,3,6,0.898,0.327,Acer campestre,excellent
26,51.52651489862821,0.10147203100882217,6,20,0.812,0.4,Salix cinerea,excellent
27,51.52637295299721,0.10150203214043486,7,4,0.959,0.363,Cornus sanguinea,excellent
28,51.5264478862709,0.10150684181646266,8,12,1.237,0.321,Acer campestre,excellent
29,51.52679512449418,0.10145077051385212,6,51,1.472,0.44,Prunus avium,excellent
30,51.52639224698954,0.10146351330775383,5,6,1.132,0.37,Sorbus torminalis,excellent
31,51.52657417256632,0.10152405909555615,10,26,0.986,0.482,Viburnum opulus,good
32,51.52651195730663,0.10147983526662246,6,19,1.3,0.341,Cornus sanguinea,excellent
33,51.526799899777,0.10148959171950002,8,51,1.345,0.31,Betula pubescens,excellent
34,51.52690242595666,0.10143656015173909,5,63,1.278,0.414,Salix cinerea,excellent
35,51.52652350159302,0.10141495872993322,2,21,0.734,0.389,Quercus robur,good
36,51.526781284812294,0.10143980565969518,5,49,0.745,0.32,Corylus avellana,excellent
37,51.5265176804303,0.10149843138049548,8,20,0.636,0.409,Prunus spinosa,excellent
38,51.52658898197225,0.1014999807682916,8,28,1.077,0.384,Malus sylvestris,excellent
39,51.526465464477084,0.10152496415404359,9,14,1.087,0.478,Salix caprea,excellent
40,51.52692874464045,0.10154342627960203,13,65,0.719,0.413,Quercus robur,excellent
41,51.52691306739997,0.10151083273477989,10,64,1.387,0.414,Salix cinerea,good
42,51.52693102845207,0.10151214598127545,10,66,0.884,0.311,Betula pendula,excellent
43,51.526456194986295,0.10145873681482843,5,13,0.651,0.496,Sambucus nigra,excellent
44,51.52636687433371,0.10145421774992339,4,3,0.579,0.362,Euonymus europaeus,excellent
45,51.5267941438532,0.10145103395568374,6,51,1.07,0.373,Rosa canina,excellent
46,51.52685143537295,0.10142639748863894,4,57,1.475,0.462,Viburnum opulus,excellent
47,51.52686291211652,0.10148741288800951,8,58,0.633,0.403,Rosa canina,good
48,51.526626928350446,0.1014962192939292,8,32,1.241,0.458,Euonymus europaeus,excellent
49,51.52641465371117,0.10151728940525818,9,8,0.967,0.467,Tilia cordata,excellent
50,51.52661687517006,0.10142828030066274,3,31,1.276,0.322,Prunus spinosa,excellent
51,51.52655874249502,0.10143937848198802,4,25,0.922,0.474,Tilia cordata,good
52,51.5268593514968,0.10154020422417505,12,58,0.706,0.306,Prunus avium,excellent
