id,species,height,dbh,lat,lng,condition
0,Deciduous,15,10.16,52.360817,4.900639,fair
1,Deciduous,15,10.16,52.360517,4.89894,good
2,Deciduous,15,10.16,52.360248,4.898435,excellent
3,Deciduous,9,5.08,52.361094,4.900324,excellent
4,Deciduous,6,2.54,52.362902,4.898951,excellent
5,Deciduous,18,12.7,52.35868,4.89011,good
6,Deciduous,18,12.7,52.360999,4.900617,fair
7,Deciduous,15,10.16,52.358729,4.889944,good
8,Deciduous,15,10.16,52.358763,4.889841,excellent
9,Deciduous,18,12.7,52.360696,4.89831,good
10,Deciduous,6,2.54,52.361521,4.899382,excellent
11,Deciduous,15,10.16,52.360811,4.898959,excellent
12,Deciduous,6,2.54,52.362896,4.89892,excellent
13,Deciduous,6,2.54,52.362907,4.898976,fair
14,Deciduous,6,2.54,52.361195,4.894204,excellent
15,Deciduous,18,12.7,52.361068,4.900195,fair
16,Deciduous,15,10.16,52.361021,4.900175,good
17,Deciduous,15,10.16,52.361043,4.900287,excellent
18,Deciduous,9,7.62,52.360794,4.89914,fair
19,Deciduous,15,10.16,52.359271,4.887218,excellent
20,Deciduous,18,12.7,52.360731,4.898492,fair
21,Deciduous,18,12.7,52.360652,4.898294,good
22,Deciduous,24,17.78,52.360435,4.898359,good
23,Deciduous,9,5.08,52.360102,4.895717,excellent
24,Deciduous,9,5.08,52.360403,4.892816,excellent
25,Deciduous,9,5.08,52.360444,4.891799,fair
26,Deciduous,9,5.08,52.360352,4.893471,good
27,Deciduous,9,5.08,52.36036,4.893375,excellent
28,Deciduous,24,17.78,52.358685,4.890037,excellent
29,Deciduous,15,10.16,52.359533,4.899543,fair
30,Deciduous,18,12.7,52.35947,4.890868,good
31,Deciduous,24,17.78,52.360971,4.899898,good
32,Deciduous,15,10.16,52.358954,4.890454,excellent
33,Deciduous,9,7.62,52.360552,4.900697,good
34,Deciduous,6,2.54,52.359074,4.892083,good
35,Deciduous,18,12.7,52.360359,4.900746,excellent
36,Deciduous,6,2.54,52.359839,4.889092,excellent
37,Deciduous,6,2.54,52.363299,4.891362,excellent
38,Deciduous,6,2.54,52.363304,4.891331,fair
39,Deciduous,15,10.16,52.361067,4.896729,excellent
40,Deciduous,9,7.62,52.361698,4.900325,good
41,Deciduous,18,12.7,52.362752,4.886447,excellent
42,Deciduous,9,7.62,52.363064,4.89133,fair
43,Deciduous,9,5.08,52.359639,4.888717,good
44,Deciduous,15,10.16,52.360001,4.898654,excellent
45,Deciduous,9,5.08,52.361078,4.899921,excellent
46,Deciduous,9,5.08,52.361108,4.900111,fair
47,Deciduous,9,7.62,52.361179,4.900442,good
48,Deciduous,9,7.62,52.36089,4.89903,good
49,Deciduous,9,5.08,52.360812,4.898592,excellent
50,Deciduous,9,7.62,52.361147,4.900271,fair
51,Deciduous,9,7.62,52.360853,4.886648,excellent
52,Deciduous,9,7.62,52.36084,4.898739,good
53,Deciduous,15,10.16,52.360869,4.898879,excellent
