id,species,height,dbh,lat,lng,condition
30469,Conifers,9,5.08,52.329086,4.894478,fair
28796,Conifers,6,2.54,52.334703,4.852537,good
32778,Conifers,18,12.7,52.329103,4.893633,excellent
21947,Conifers,24,17.78,52.32592,4.892907,fair
22883,Conifers,24,17.78,52.326184,4.892449,good
23052,Conifers,24,17.78,52.325938,4.892889,excellent
25001,Conifers,9,7.62,52.32667,4.892646,fair
25324,Conifers,18,12.7,52.325909,4.892888,good
25673,Conifers,24,17.78,52.326712,4.892495,excellent
25803,Conifers,18,12.7,52.326143,4.892639,fair
25806,Conifers,24,17.78,52.326121,4.892636,good
26005,Conifers,18,12.7,52.326756,4.892491,excellent
26682,Conifers,24,17.78,52.331293,4.894369,fair
27159,Conifers,24,17.78,52.326518,4.892584,good
27160,Conifers,24,20.32,52.326479,4.892556,excellent
27438,Conifers,24,17.78,52.331342,4.894399,fair
27465,Conifers,9,5.08,52.325951,4.892839,good
28239,Conifers,24,17.78,52.325915,4.892769,excellent
28240,Conifers,24,17.78,52.325957,4.892778,fair
28568,Conifers,15,10.16,52.325966,4.892858,good
28603,Conifers,24,20.32,52.325882,4.892777,excellent
29303,Conifers,24,17.78,52.326165,4.89245,fair
30409,Conifers,24,17.78,52.326166,4.892649,good
31373,Conifers,24,17.78,52.32656,4.892737,excellent
32548,Conifers,24,20.32,52.326649,4.892721,fair
32549,Conifers,24,20.32,52.326627,4.892753,good
32660,Conifers,24,17.78,52.325886,4.892884,excellent
33667,Conifers,24,17.78,52.326487,4.892618,fair
33668,Conifers,24,20.32,52.326487,4.892632,good
33845,Conifers,18,12.7,52.326152,4.89272,excellent
33846,Conifers,24,17.78,52.32612,4.892711,fair
33981,Conifers,24,17.78,52.3265,4.892619,good
34008,Conifers,24,17.78,52.326189,4.892467,excellent
39201,Conifers,9,5.08,52.343432,4.880822,fair
39202,Conifers,9,5.08,52.34343,4.880861,good
115738,Conifers,15,10.16,52.348663,4.929973,excellent
116040,Conifers,9,5.08,52.348663,4.929813,fair
146183,Conifers,9,7.62,52.405196,4.928684,good
146393,Conifers,9,7.62,52.405201,4.928713,excellent
146394,Conifers,9,7.62,52.40517,4.928675,fair
162245,Conifers,9,5.08,52.405384,4.926617,good
