id,species,height,dbh,lat,lng,condition
224255,Deciduous,15,10.16,52.368142,4.918088,excellent
224419,Deciduous,15,10.16,52.363777,4.917562,fair
224420,Deciduous,15,10.16,52.363767,4.917544,good
224421,Deciduous,9,7.62,52.363758,4.917509,excellent
225330,Deciduous,9,7.62,52.363798,4.917611,excellent
223250,Deciduous,6,2.54,52.36506,4.921233,fair
223251,Deciduous,9,5.08,52.365038,4.921201,good
226304,Deciduous,9,7.62,52.369613,4.914698,fair
226510,Deciduous,9,5.08,52.369531,4.91472,good
224318,Deciduous,6,2.54,52.367505,4.907795,fair
233066,Deciduous,9,7.62,52.369763,4.907624,fair
233067,Deciduous,9,7.62,52.369819,4.907774,good
233068,Deciduous,9,7.62,52.369876,4.907924,excellent
235428,Deciduous,9,7.62,52.369975,4.907823,excellent
235429,Deciduous,9,7.62,52.370032,4.907973,fair
235430,Deciduous,9,7.62,52.369933,4.908073,good
235637,Deciduous,9,7.62,52.369918,4.907673,excellent
225149,Deciduous,9,7.62,52.366994,4.912458,excellent
225580,Deciduous,9,7.62,52.366895,4.912366,good
225590,Deciduous,9,5.08,52.366617,4.912103,excellent
238164,Deciduous,15,10.16,52.367947,4.908347,fair
224056,Deciduous,9,5.08,52.367515,4.921325,fair
224291,Deciduous,9,7.62,52.369417,4.9171,fair
223570,Deciduous,9,7.62,52.370137,4.92102,good
223646,Deciduous,9,7.62,52.369125,4.916815,good
224925,Deciduous,9,5.08,52.36657,4.912058,fair
225371,Deciduous,9,7.62,52.366946,4.912413,good
225484,Deciduous,6,2.54,52.366662,4.91215,fair
225804,Deciduous,9,5.08,52.366758,4.912236,excellent
226252,Deciduous,9,7.62,52.369281,4.916963,fair
223852,Deciduous,9,5.08,52.367277,4.91888,fair
224141,Deciduous,9,5.08,52.368939,4.909765,good
224254,Deciduous,15,10.16,52.368154,4.918133,excellent
224352,Deciduous,9,5.08,52.368935,4.909797,excellent
224354,Deciduous,9,5.08,52.368806,4.909585,fair
224356,Deciduous,6,7.62,52.368737,4.909491,good
224357,Deciduous,9,5.08,52.368717,4.909472,excellent
224361,Deciduous,6,2.54,52.36852,4.909172,fair
224504,Deciduous,9,7.62,52.367277,4.918911,fair
224564,Deciduous,9,7.62,52.368605,4.909304,excellent
224928,Deciduous,9,5.08,52.367262,4.918927,excellent
225915,Deciduous,6,2.54,52.367267,4.91888,excellent
226039,Deciduous,15,10.16,52.363608,4.919426,fair
238173,Deciduous,18,12.7,52.36761,4.909205,good
223219,Deciduous,9,5.08,52.365235,4.912606,excellent
225539,Deciduous,15,10.16,52.36943,4.916058,good
225548,Deciduous,15,10.16,52.369388,4.916106,excellent
237946,Deciduous,15,10.16,52.367764,4.908437,fair
225363,Deciduous,9,7.62,52.36685,4.912321,good
226394,Deciduous,9,7.62,52.369922,4.91384,excellent
226626,Deciduous,24,17.78,52.366087,4.908744,excellent
226627,Deciduous,24,17.78,52.366176,4.908574,fair
224070,Deciduous,15,10.16,52.367009,4.919263,excellent
224251,Deciduous,15,10.16,52.368306,4.91721,fair
225378,Deciduous,15,10.16,52.36383,4.915143,excellent
237943,Deciduous,18,12.7,52.368057,4.908883,fair
238843,Deciduous,15,10.16,52.362228,4.907808,excellent
224253,Deciduous,15,10.16,52.368067,4.917995,excellent
224459,Deciduous,15,10.16,52.3654,4.912871,fair
223600,Deciduous,15,10.16,52.363599,4.919939,excellent
224465,Deciduous,9,7.62,52.365364,4.910978,good
225102,Deciduous,15,10.16,52.365425,4.91401,fair
226182,Deciduous,9,5.08,52.368064,4.909359,good
226260,Deciduous,15,10.16,52.36361,4.919699,excellent
237951,Deciduous,9,7.62,52.368217,4.909163,excellent
223426,Deciduous,15,10.16,52.369736,4.92092,excellent
223428,Deciduous,9,7.62,52.369699,4.92086,fair
223429,Deciduous,15,10.16,52.369663,4.920803,good
223636,Deciduous,15,10.16,52.369772,4.920977,excellent
224878,Deciduous,9,7.62,52.369626,4.92074,excellent
226431,Deciduous,18,12.7,52.36792,4.918037,excellent
238161,Deciduous,24,17.78,52.368291,4.908892,fair
225546,Deciduous,18,12.7,52.369604,4.916289,fair
223731,Deciduous,6,2.54,52.363692,4.915777,fair
223950,Deciduous,6,2.54,52.365335,4.913096,good
225302,Deciduous,6,2.54,52.364684,4.920645,good
242421,Deciduous,6,2.54,52.369284,4.914437,excellent
225066,Deciduous,15,10.16,52.364073,4.91927,excellent
225140,Deciduous,15,10.16,52.365979,4.909504,good
225327,Deciduous,9,5.08,52.363615,4.91663,good
226119,Deciduous,18,12.7,52.368703,4.916117,fair
