id,species,height,dbh,lat,lng,condition
0,acer pseudoplatanus,15,10.16,52.360817,4.900639,fair
1,ulmus minor,15,10.16,52.360517,4.89894,good
2,quercus robur,15,10.16,52.360248,4.898435,excellent
3,fraxinus excelsior,9,5.08,52.361094,4.900324,excellent
4,betula pendula,6,2.54,52.362902,4.898951,excellent
5,fagus sylvatica,18,12.7,52.35868,4.89011,good
6,ulmus minor,18,12.7,52.360999,4.900617,fair
7,fraxinus excelsior,15,10.16,52.358729,4.889944,good
8,ulmus minor,15,10.16,52.358763,4.889841,excellent
9,fraxinus excelsior,18,12.7,52.360696,4.89831,good
10,ulmus minor,6,2.54,52.361521,4.899382,excellent
11,acer platanoides,15,10.16,52.360811,4.898959,excellent
12,fagus sylvatica,6,2.54,52.362896,4.89892,excellent
13,acer pseudoplatanus,6,2.54,52.362907,4.898976,fair
14,crataegus monogyna,6,2.54,52.361195,4.894204,excellent
15,alnus glutinosa,18,12.7,52.361068,4.900195,fair
16,ulmus minor,15,10.16,52.361021,4.900175,good
17,acer platanoides,15,10.16,52.361043,4.900287,excellent
18,tilia cordata,9,7.62,52.360794,4.89914,fair
19,acer platanoides,15,10.16,52.359271,4.887218,excellent
20,ulmus minor,18,12.7,52.360731,4.898492,fair
21,quercus robur,18,12.7,52.360652,4.898294,good
22,fagus sylvatica,24,17.78,52.360435,4.898359,good
23,fraxinus excelsior,9,5.08,52.360102,4.895717,excellent
24,fagus sylvatica,9,5.08,52.360403,4.892816,excellent
25,acer platanoides,9,5.08,52.360444,4.891799,fair
26,fraxinus excelsior,9,5.08,52.360352,4.893471,good
27,quercus robur,9,5.08,52.36036,4.893375,excellent
28,betula pendula,24,17.78,52.358685,4.890037,excellent
29,ulmus minor,15,10.16,52.359533,4.899543,fair
30,acer platanoides,18,12.7,52.35947,4.890868,good
31,acer pseudoplatanus,24,17.78,52.360971,4.899898,good
32,ulmus minor,15,10.16,52.358954,4.890454,excellent
33,ulmus minor,9,7.62,52.360552,4.900697,good
34,ulmus minor,6,2.54,52.359074,4.892083,good
35,acer platanoides,18,12.7,52.360359,4.900746,excellent
36,betula pendula,6,2.54,52.359839,4.889092,excellent
37,quercus robur,6,2.54,52.363299,4.891362,excellent
38,ulmus minor,6,2.54,52.363304,4.891331,fair
39,ulmus minor,15,10.16,52.361067,4.896729,excellent
40,acer pseudoplatanus,9,7.62,52.361698,4.900325,good
41,quercus robur,18,12.7,52.362752,4.886447,excellent
42,fraxinus excelsior,9,7.62,52.363064,4.89133,fair
43,betula pendula,9,5.08,52.359639,4.888717,good
44,quercus robur,15,10.16,52.360001,4.898654,excellent
45,acer platanoides,9,5.08,52.361078,4.899921,excellent
46,tilia cordata,9,5.08,52.361108,4.900111,fair
47,fagus sylvatica,9,7.62,52.361179,4.900442,good
48,fagus sylvatica,9,7.62,52.36089,4.89903,good
49,crataegus monogyna,9,5.08,52.360812,4.898592,excellent
50,acer pseudoplatanus,9,7.62,52.361147,4.900271,fair
51,betula pendula,9,7.62,52.360853,4.886648,excellent
52,fraxinus excelsior,9,7.62,52.36084,4.898739,good
53,acer pseudoplatanus,15,10.16,52.360869,4.898879,excellent
54,quercus robur,6,2.54,52.361742,4.900564,good
55,tilia cordata,15,10.16,52.36075,4.898283,excellent
56,quercus robur,9,5.08,52.360827,4.899982,excellent
57,acer pseudoplatanus,9,5.08,52.360984,4.900535,good
58,quercus robur,9,5.08,52.360871,4.900635,excellent
59,fagus sylvatica,6,2.54,52.358848,4.892303,fair
60,acer pseudoplatanus,6,2.54,52.358799,4.891377,good
61,fagus sylvatica,6,2.54,52.358808,4.890627,excellent
62,quercus robur,6,2.54,52.360531,4.900689,excellent
63,ulmus minor,9,5.08,52.360548,4.900636,good
64,acer platanoides,9,5.08,52.359861,4.888656,excellent
65,tilia cordata,9,5.08,52.360436,4.898516,fair
66,acer pseudoplatanus,9,5.08,52.360709,4.900255,good
67,alnus glutinosa,6,2.54,52.360713,4.900324,excellent
68,quercus robur,9,5.08,52.360744,4.900269,fair
69,quercus robur,9,5.08,52.36068,4.90031,good
70,acer pseudoplatanus,6,2.54,52.360505,4.897335,good
71,fagus sylvatica,6,2.54,52.360471,4.897162,fair
72,fraxinus excelsior,9,5.08,52.360963,4.900333,excellent
73,acer platanoides,9,5.08,52.360906,4.900206,fair
74,ulmus minor,6,2.54,52.360412,4.898378,good
75,acer pseudoplatanus,9,5.08,52.36078,4.899145,excellent
76,fagus sylvatica,9,5.08,52.360748,4.898697,good
77,alnus glutinosa,9,5.08,52.360789,4.898846,excellent
78,fraxinus excelsior,6,2.54,52.361082,4.900402,fair
79,quercus robur,6,2.54,52.360428,4.896958,excellent
80,acer platanoides,9,5.08,52.360511,4.897737,fair
81,ulmus minor,6,2.54,52.360334,4.896812,good
82,ulmus minor,9,5.08,52.360424,4.898229,good
83,ulmus minor,6,2.54,52.361022,4.900039,fair
84,fagus sylvatica,24,17.78,52.36065,4.900011,excellent
85,fagus sylvatica,18,12.7,52.360698,4.899884,good
86,acer platanoides,9,7.62,52.360637,4.897747,excellent
87,acer platanoides,15,10.16,52.360754,4.899343,fair
